ChatGPT PR,Non-ChatGPT PR,Similarity Score
https://github.com/daeuniverse/dae-wing/pull/115,https://github.com/daeuniverse/dae-wing/pull/113,0.34
https://github.com/labdao/plex/pull/469,https://github.com/labdao/plex/pull/459,0.98
https://github.com/labdao/plex/pull/468,https://github.com/labdao/plex/pull/457,0.81
https://github.com/aiplanethub/genai-stack/pull/21,https://github.com/aiplanethub/genai-stack/pull/24,0.57
https://github.com/Sambath-Kumar-M/Portfolio/pull/1,https://github.com/Sambath-Kumar-M/Portfolio/pull/2,0.82
https://github.com/open-learning-exchange/myplanet/pull/2229,https://github.com/open-learning-exchange/myplanet/pull/2211,0.77
https://github.com/open-learning-exchange/myplanet/pull/2214,https://github.com/open-learning-exchange/myplanet/pull/2208,0.66
https://github.com/open-learning-exchange/myplanet/pull/2213,https://github.com/open-learning-exchange/myplanet/pull/2238,0.43
https://github.com/tinygrad/tinygrad/pull/1661,https://github.com/tinygrad/tinygrad/pull/1716,0.62
https://github.com/QRTaxi/QRTaxi_Web/pull/29,https://github.com/QRTaxi/QRTaxi_Web/pull/37,0.83
https://github.com/QRTaxi/QRTaxi_Web/pull/26,https://github.com/QRTaxi/QRTaxi_Web/pull/32,0.75
https://github.com/MERLTech/MERL-Center-public/pull/112,https://github.com/MERLCenter/MERL-Center-public/pull/111,0.22
https://github.com/Stivaros/blog/pull/426,https://github.com/Stivaros/blog/pull/427,0.59
https://github.com/microsoft/visionmetrics/pull/42,https://github.com/microsoft/visionmetrics/pull/39,0.5
https://github.com/comfyanonymous/ComfyUI/pull/1115,https://github.com/comfyanonymous/ComfyUI/pull/1169,0.7
https://github.com/IararIV/karaok.ai/pull/1,https://github.com/IararIV/karaok.ai/pull/3,0.72
https://github.com/PYT-Acadamy/PYT-Acadamy.github.io/pull/20,https://github.com/PYT-Acadamy/PYT-Acadamy.github.io/pull/13,0.66
https://github.com/radix-vue/radix-vue/pull/100,https://github.com/radix-vue/radix-vue/pull/48,0.95
https://github.com/RupertBenWiser/Web-Environment-Integrity/pull/82,https://github.com/RupertBenWiser/Web-Environment-Integrity/pull/81,0.62
https://github.com/GaloyMoney/galoy-mobile/pull/2403,https://github.com/GaloyMoney/galoy-mobile/pull/2371,0.64
https://github.com/sarcophagus-org/sarcophagus-v2-sdk/pull/23,https://github.com/sarcophagus-org/sarcophagus-v2-sdk/pull/26,0.55
https://github.com/Feijai/Lunar/pull/45,https://github.com/Feijai/Lunar/pull/44,0.76
https://github.com/ECMaker/blog/pull/24,https://github.com/ECMaker/blog/pull/26,0.84
https://github.com/mlhmz/family-task-tracking/pull/80,https://github.com/mlhmz/family-task-tracking/pull/86,0.75
https://github.com/TeamCodeStream/codestream/pull/1638,https://github.com/TeamCodeStream/codestream/pull/1632,0.45
